# AmmoName	LauncherType	WieldReq	Element	Quality	Special	WieldReq2Skill	WieldReq2Value
Spectral Chill Atlatl Dart	7	270	5	30	2	0	0
Olthoi Acid Arrow	5	270	3	30	2	0	0
Olthoi Acid Bolt	6	270	3	30	2	0	0
Olthoi Acid Atlatl Dart	7	270	3	30	2	0	0
Greater Deadly Blunt Arrow	5	270	1	30	0	0	0
Greater Deadly Blunt Quarrel	6	270	1	30	0	0	0
Greater Deadly Blunt Atlatl Dart	7	270	1	30	0	0	0
Gear Blade Slashing Arrow	5	270	2	30	2	0	0
Gear Blade Slashing Bolt	6	270	2	30	2	0	0
Gear Blade Slashing Atlatl Dart	7	270	2	30	2	0	0
Burning Sands Atlatl Dart	7	270	6	30	2	0	0
Burning Sands Bolt	6	270	6	30	2	0	0
Burning Sands Arrow	5	270	6	30	2	0	0
Greater Deadly Armor Piercing Atlatl Dart	7	270	0	33	0	0	0
Greater Deadly Armor Piercing Arrow	5	270	0	33	0	0	0
Greater Deadly Armor Piercing Quarrel	6	270	0	33	0	0	0
Greater Deadly Frog Crotch Atlatl Dart	7	270	2	33	0	0	0
Greater Deadly Frog Crotch Quarrel	6	270	2	33	0	0	0
Greater Deadly Frog Crotch Arrow	5	270	2	33	0	0	0
Deadly Prismatic Atlatl Dart	7	300	100	31	0	37	375
Deadly Prismatic Quarrel	6	300	100	31	0	37	375
Deadly Prismatic Arrow	5	300	100	31	0	37	375
Greater Prismatic Atlatl Dart	7	290	100	26	0	37	350
Greater Prismatic Quarrel	6	290	100	26	0	37	350
Greater Prismatic Arrow	5	290	100	26	0	37	350
Prismatic Atlatl Dart	7	250	100	21	0	37	250
Prismatic Quarrel	6	250	100	21	0	37	250
Prismatic Arrow	5	250	100	21	0	37	250
